Benchmark,Baseline,SLP,Diospyros
3-by-3-and-2-by-2-conv,99.0,111.0,90.0
3-by-3-and-3-by-3-conv,340.0,243.0,174.0
3-by-3-and-4-by-4-conv,650.0,428.0,278.0
4-by-4-and-2-by-2-conv,257.0,194.0,139.0
4-by-4-and-4-by-4-conv,2652.0,774.0,505.0
5-by-5-and-2-by-2-conv,358.0,295.0,212.0
5-by-5-and-3-by-3-conv,885.0,666.0,432.0
5-by-5-and-4-by-4-conv,3726.0,1230.0,705.0
6-by-6-and-2-by-2-conv,509.0,422.0,277.0
6-by-6-and-3-by-3-conv,2546.0,973.0,603.0
6-by-6-and-4-by-4-conv,5261.0,1795.0,1105.0
8-by-8-and-2-by-2-conv,1554.0,754.0,464.0
8-by-8-and-3-by-3-conv,4185.0,1692.0,925.0
8-by-8-and-4-by-4-conv,9788.0,3259.0,1787.0
