Benchmark,Baseline,SLP,Diospyros
2-by-2-mat-mul,15,17,23
3-by-3-mat-mul,46,73,68
4-by-4-mat-mul,111,125,78
5-by-5-mat-mul,219,194,246
6-by-6-mat-mul,385,399,373
7-by-7-mat-mul,643,283,672
8-by-8-mat-mul,944,321,371
9-by-9-mat-mul,1264,896,1287
10-by-10-mat-mul,1747,1252,1381
11-by-11-mat-mul,2383,1733,2341
12-by-12-mat-mul,3032,1928,1626
15-by-15-mat-mul,6224,3461,5812
16-by-16-mat-mul,7734,3652,3580
3-qr-decomp,6218,6710,6932
4-qr-decomp,10648,11612,11410
5-qr-decomp,15842,18499,18311
6-qr-decomp,22060,25880,26048
4-by-4-stencil2d,65,80,77
5-by-5-stencil2d,165,174,166
6-by-6-stencil2d,263,313,251
8-by-8-stencil2d,578,687,498
12-by-12-stencil2d,1685,1908,1569
15-by-16-stencil2d,3100,3606,2883
16-by-16-stencil2d,3276,3711,3072
conv2d,866,657,424
qprod,55,63,57
